,PALIKA,District,Province,Full_Name,Longitude,Latitude
332,Bagmati Gaunpalika,MAKAWANPUR,3,"Bagmati Gaunpalika, MAKAWANPUR",85.39789874073325,27.304811006008144
333,Bakaiya Gaunpalika,MAKAWANPUR,3,"Bakaiya Gaunpalika, MAKAWANPUR",85.2528161597661,27.33247487325619
334,Bhimphedi Gaunpalika,MAKAWANPUR,3,"Bhimphedi Gaunpalika, MAKAWANPUR",85.10444284410414,27.527813825200386
335,Hetauda Upamahanagarpalika,MAKAWANPUR,3,"Hetauda Upamahanagarpalika, MAKAWANPUR",85.02721872271898,27.41592885306771
336,Indrasarowar Gaunpalika,MAKAWANPUR,3,"Indrasarowar Gaunpalika, MAKAWANPUR",85.1959534849471,27.593619845278994
337,Kailash Gaunpalika,MAKAWANPUR,3,"Kailash Gaunpalika, MAKAWANPUR",84.94931669133737,27.60952458704195
338,Makawanpurgadhi Gaunpalika,MAKAWANPUR,3,"Makawanpurgadhi Gaunpalika, MAKAWANPUR",85.13690832894625,27.445252603571547
339,Manahari Gaunpalika,MAKAWANPUR,3,"Manahari Gaunpalika, MAKAWANPUR",84.85137628634531,27.472569561221277
340,Raksirang Gaunpalika,MAKAWANPUR,3,"Raksirang Gaunpalika, MAKAWANPUR",84.83791405147413,27.5986734682027
341,Thaha Nagarpalika,MAKAWANPUR,3,"Thaha Nagarpalika, MAKAWANPUR",85.08608485975692,27.65156287441824
342,Parsa Wildlife Reserve,MAKAWANPUR,3,"Parsa Wildlife Reserve, MAKAWANPUR",84.7713050814354,27.495228785817126
343,Chitawan National Park,MAKAWANPUR,3,"Chitawan National Park, MAKAWANPUR",84.7062475762948,27.49261953647587
344,Baudhimai Nagarpalika,RAUTAHAT,2,"Baudhimai Nagarpalika, RAUTAHAT",85.21873090698146,26.890571833701657
345,Brindaban Nagarpalika,RAUTAHAT,2,"Brindaban Nagarpalika, RAUTAHAT",85.37353985175965,27.041323502532524
346,Chandrapur Nagarpalika,RAUTAHAT,2,"Chandrapur Nagarpalika, RAUTAHAT",85.36820118270585,27.138918539227138
